"origin_fips","dest_fips","num_migrants","m_i","m_j"
45,25,970,4635649,6566307
27,25,854,5310828,6566307
29,25,844,5995974,6566307
47,25,837,6355311,6566307
55,25,697,5690475,6566307
18,25,673,6490432,6566307
41,25,580,3837491,6566307
32,25,519,2702405,6566307
22,25,406,4544532,6566307
15,25,429,1363963,6566307
49,25,429,2775332,6566307
21,25,437,4348181,6566307
1,25,433,4785437,6566307
35,25,379,2064552,6566307
19,25,309,3050745,6566307
20,25,338,2858190,6566307
10,25,284,899593,6566307
40,25,267,3759944,6566307
5,25,226,2921964,6566307
28,25,219,2970548,6566307
54,25,178,1854239,6566307
31,25,185,1829542,6566307
30,25,147,990697,6566307
2,25,151,713910,6566307
16,25,151,1570746,6566307
56,25,91,564487,6566307
38,25,73,674715,6566307
46,25,70,816166,6566307
12,26,10193,18845537,9877510
39,26,9120,11539336,9877510
17,26,7780,12840503,9877510
6,26,6436,37319502,9877510
18,26,6961,6490432,9877510
48,26,6281,25241971,9877510
36,26,3630,19399878,9877510
13,26,3935,9711881,9877510
47,26,3893,6355311,9877510
55,26,3517,5690475,9877510
37,26,3613,9574323,9877510
4,26,3332,6407172,9877510
51,26,2793,8023699,9877510
42,26,2296,12711160,9877510
8,26,2063,5047349,9877510
21,26,2196,4348181,9877510
29,26,1985,5995974,9877510
53,26,1648,6742830,9877510
45,26,1609,4635649,9877510
27,26,1494,5310828,9877510
32,26,1557,2702405,9877510
1,26,1701,4785437,9877510
24,26,1218,5788645,9877510
25,26,1092,6566307,9877510
34,26,1167,8799446,9877510
19,26,1145,3050745,9877510
22,26,959,4544532,9877510
20,26,1003,2858190,9877510
40,26,835,3759944,9877510
28,26,832,2970548,9877510
41,26,726,3837491,9877510
5,26,798,2921964,9877510
9,26,660,3579114,9877510
15,26,608,1363963,9877510
49,26,620,2775332,9877510
2,26,524,713910,9877510
35,26,501,2064552,9877510
56,26,517,564487,9877510
11,26,329,605226,9877510
31,26,408,1829542,9877510
