"","1","2","4","5","6","8","9","10","11","12","13","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","44","45","46","47","48","49","50","51","53","54","55","56"
"35",248165788,81212575,9696615,175413016,51596495,6036236,249196263,249196263,248165788,247580175,248165788,66586553,71493714,249196263,248165788,152096577,36241255,248165788,178917518,249196263,248165788,249196263,249196263,127564107,185340802,141034456,31860417,95820459,51596495,249196263,249196263,0,249196263,248165788,95813823,248165788,56789678,71493714,249196263,249196263,248165788,92831988,248165788,69850354,14566544,249196263,248165788,71493714,248165788,249196263,10048546
"36",218222932,236810188,298896023,233438545,299633521,298896023,3587122,29254989,37616797,171768884,209513144,301680789,300258737,168077354,168305726,237450855,287716574,192325408,232684479,14727243,29254989,14727243,88891702,172478599,233438545,244280531,270950389,248798529,298896023,14727243,8867949,298896023,0,143599396,211630310,117463603,287716574,291896929,22594027,14102027,141320780,229214703,224558952,286065515,299521239,23595192,38780494,266795949,116594601,156727075,298896023
"37",41858386,282320028,216523580,125918774,216523580,216523580,95389998,85458283,74318162,35279427,26801263,218683130,217261078,100998909,72936120,117872602,161908088,74085866,98338922,95389998,82168455,95389998,108546368,124533564,109036149,151066102,216523580,155078412,216523580,95389998,95389998,216523580,95389998,0,131880965,66297675,161908088,217261078,95389998,95389998,4891938,156729471,57261757,121588300,216523580,120618273,28748848,217261078,17885553,100390435,216523580
"38",238711999,17580316,122787577,176167082,116688569,42241979,205751694,205751694,208660705,240040261,240040261,83415054,73583005,80034750,201430084,38948853,97620047,238711999,237025667,192375282,208660705,201087066,177889553,6336020,213783879,66450440,11699605,20329000,89218513,200233078,205751694,111608128,205751694,240040261,0,208660705,117643164,73583005,205751694,201087066,240040261,11348257,228900140,182996758,79237281,186303550,240040261,73583005,212570205,77056702,27773345
"39",87027365,138873159,194718169,114045078,194718169,194471437,83772471,73840756,62700635,86478103,84049317,206809434,182853910,39585966,23893311,74147750,129260691,17625568,127387664,83772471,63756700,83772471,9931715,60669032,127387664,84858269,178189282,80183986,204649884,83772471,73840756,194718169,73840756,67207477,71645243,0,136090367,178926780,73840756,83772471,84810566,81214461,47230111,154238329,194471437,81930421,78680284,178926780,1842050,43762982,194471437
"40",137337566,115445474,61373081,5966519,73583005,17792113,212570205,212570205,212570205,214944871,213422644,75742555,85473379,131192931,172215226,46311341,2909011,196234908,78989362,212570205,212570205,212570205,207905577,72872172,58780320,13992980,55748026,21083066,73583005,212570205,212570205,20803977,212570205,232950175,63309767,212570205,0,88594339,212570205,212570205,228149887,45739155,146612906,38101203,79991347,212570205,211816139,95403569,211816139,137072409,17792113
"41",306459609,7901155,69222067,306459609,55336845,139452550,274705221,313623266,313623266,306459609,306459609,40340097,4632894,313623266,313623266,313623266,298337119,313623266,306459609,274705221,313623266,274705221,274705221,274705221,306459609,306459609,20471316,313623266,62403556,274705221,274705221,125497325,274705221,313623266,230727528,313623266,298337119,0,313623266,274705221,306459609,265526666,306459609,306459609,62403556,274705221,313623266,7163657,313623266,274705221,108994023
"42",189700317,249595014,270373408,204915930,271110906,270373408,33165802,941252,7602214,115776213,138566841,272532958,262749098,124294960,131128174,180357390,259193959,128646803,203576251,43249858,7602214,43249858,60647757,140974149,203576251,208928240,237535836,191705064,270373408,43249858,32109737,270373408,32109737,105145066,145607043,77270573,259193959,238273334,0,43249858,98536644,186813126,189700317,218624855,262011600,43249858,15964022,238273334,77190975,124294960,262011600
"44",229202139,257445307,304164426,249548934,307660326,305500776,32109737,60858585,84349808,211035371,222866119,307660326,306238274,184238673,203111365,244055608,292984977,202357299,244911408,9458840,62700635,6794228,151269949,223846566,238081732,254066932,305500776,255403282,306238274,9458840,45835815,304164426,45835815,177493583,241481751,150399570,292984977,306238274,60858585,0,171732643,266582731,229956205,292359761,305500776,10084056,77624219,314360764,166862436,179574045,305500776
"45",66959366,295573774,241624560,157355774,241624560,241624560,105421644,105421644,104093382,20209042,31693201,243784110,228813978,177181630,136020112,167572564,189876007,100573355,88307276,135075895,105421644,112030066,173303451,222790501,113928087,156988515,251295723,175112047,241624560,135075895,105421644,241624560,105421644,10031646,254496179,145597329,189876007,243165272,105421644,105421644,0,201198229,75012608,126480238,241624560,135075895,72732281,271687887,89975801,177181630,222090918
"46",224558952,66155602,108670924,126772762,82292793,16938125,200333000,204997628,204997628,239286195,237332717,82561066,74337071,76202714,136874100,11083969,20880528,197088896,176828227,195120547,204997628,200333000,174157439,5482032,161805457,20880528,12453671,5012237,82292793,201087066,204997628,104655132,204997628,239286195,6236098,200333000,59464582,74337071,204997628,200333000,239286195,0,196036337,140778752,73583005,193229270,207906639,74337071,207906639,67769494,12137837
"47",16769617,154916662,136676774,22538921,155296627,157240421,150146280,144385340,131526427,51902243,16769617,157456177,161666397,59806485,51203493,57624865,78659515,11034398,54870820,139967833,131526427,150146280,73432583,76781672,17222317,52444823,141139585,63661101,155296627,139967833,150146280,129513117,150146280,60616307,89222653,53720943,64983198,172335610,144385340,150146280,62781501,74623291,0,57582616,157240421,139967833,151735469,169347139,59480106,70465532,157240421
"48",114497421,163975098,73237859,57582616,89218513,90374170,240040261,240040261,240040261,143246269,177869569,86060397,120173472,246076497,240040261,145342658,38330546,229827355,35123155,240040261,240040261,240040261,240040261,216562213,54870820,112328325,147730755,127221856,93093539,240040261,240040261,75534017,240040261,226131664,173077099,240040261,17759568,120910970,240040261,240040261,221119427,140382138,176915491,0,101553619,240040261,239286195,127519392,240040261,246076497,113009815
"49",259007774,14598481,50703951,247867653,48614660,8125527,252178098,252178098,252178098,259007774,252178098,63604718,1651059,252178098,252178098,161739374,133273001,252178098,256649037,252178098,252178098,252178098,252178098,143955984,257977299,159970350,1616088,140382138,48614660,252178098,252178098,14955203,252178098,252178098,83262770,252178098,139072202,12830508,252178098,252178098,252178098,94921279,252178098,185978593,0,252178098,252178098,13860983,252178098,252178098,6036236
"50",229827355,161507832,303108361,248492869,300258737,299521239,61008020,71887278,103468166,229730636,237957933,273158174,263374314,168702570,202055300,238076071,291928912,201301234,252330852,10514905,93536451,14102027,122165136,128189323,238706948,251359808,223809758,249423745,299521239,10514905,61683420,303108361,61683420,186249377,121849319,149343505,291928912,224547256,70045228,42624642,186249377,187438342,230581421,292984977,279866573,0,143173569,224547256,167487652,157352291,299521239
"51",155631089,290681836,256647330,185204290,257384828,257588582,63636898,52496777,20387040,67917150,95389173,259748132,280604071,148422688,118343348,188719198,206549836,114920725,159381562,63636898,48909655,63636898,122790352,189092157,170167265,196143414,279312197,220275914,256647330,63636898,63636898,256647330,63636898,26944081,240425686,90055399,245467881,300258737,52496777,63636898,45311073,209560037,136717844,194340401,270373408,73568613,0,283636817,51118298,168702570,270373408
"53",313623266,737498,109524912,313623266,65388873,150076764,270689429,270689429,309607474,313623266,313623266,44355889,8648686,270689429,309607474,309607474,312295004,309607474,313623266,270689429,309607474,270689429,270689429,270689429,313623266,313623266,13307659,309607474,66419348,270689429,270689429,168496219,270689429,309607474,180240756,309607474,312295004,4015792,270689429,270689429,313623266,260174524,313623266,313623266,66419348,270689429,309607474,0,309607474,270689429,140479871
"54",75409838,162133048,206491934,115887128,206491934,206491934,71998706,70045228,57271463,69759200,61158740,208651484,196313487,66397655,57794663,96632034,145046766,29243095,115770137,81930421,60858585,81930421,46777517,92831988,115770137,138945165,191648859,99751800,206491934,81930421,71998706,206491934,71998706,14923584,99554173,11617527,140914252,197050985,71998706,71998706,53672881,100891585,29646065,142620802,206491934,93547948,67303109,197050985,0,68623482,206491934
"55",164301040,96825621,161887797,102427551,136676774,117844226,134206893,150976510,150976510,203907574,144327781,138836324,101553619,12858913,45442553,17419989,85250685,79846806,151019754,116456042,150976510,134206893,41016577,12102323,151019754,40075461,98575571,24992566,136676774,129314955,134206893,154724140,134206893,176437518,12102323,47960003,106710651,99313069,150976510,134206893,184287811,21083066,101441623,159999269,129023675,101998420,176946492,99313069,142010207,0,51456125
"56",244748235,21201321,59136409,173323725,64803260,5450623,240625874,240625874,240625874,248165788,246076497,75156942,19709757,213155818,240625874,85765277,27185139,240625874,204161864,240625874,240625874,240625874,240625874,72286559,204161864,72655129,1030475,43612419,60787468,240625874,240625874,14369590,240625874,246076497,23934995,240625874,58878969,58627802,240625874,240625874,246076497,26844006,246076497,139924764,7499833,240625874,240625874,58627802,240625874,186953886,0
