08 000 16 000 ID IDAHO                                  686       1400       29790
08 000 15 000 HI HAWAII                                 682       1327       34309
08 000 22 000 LA LOUISIANA                              676       1418       31652
08 000 45 000 SC SOUTH CAROLINA                         626       1211       27358
08 000 02 000 AK ALASKA                                 567       1033       23934
08 000 46 000 SD SOUTH DAKOTA                           563       1006       21669
08 000 34 000 NJ NEW JERSEY                             540        918       28967
08 000 01 000 AL ALABAMA                                524       1125       25535
08 000 05 000 AR ARKANSAS                               481        975       19636
08 000 38 000 ND NORTH DAKOTA                           468        946       22898
08 000 21 000 KY KENTUCKY                               450        964       19954
08 000 28 000 MS MISSISSIPPI                            382        682       12461
08 000 09 000 CT CONNECTICUT                            336        569       19551
08 000 11 000 DC DISTRICT OF COLUMBIA                   273        333       15993
08 000 33 000 NH NEW HAMPSHIRE                          242        381        9406
08 000 23 000 ME MAINE                                  226        395        8962
08 000 50 000 VT VERMONT                                201        310        8100
08 000 54 000 WV WEST VIRGINIA                          176        347        9029
08 000 44 000 RI RHODE ISLAND                           103        189        4585
08 000 10 000 DE DELAWARE                                78        140        4129
09 000 96 000 CT CT Total Mig - US & For              41151      68746     2681882
09 000 97 000 CT CT Total Mig - US                    39759      66114     2566471
09 000 98 000 CT CT Total Mig - Foreign                1392       2632      115411
09 000 09 000 CT CT Non-Migrants                    1343294    2774447   106050133
09 000 36 000 NY NEW YORK                              7427      11276      472675
09 000 12 000 FL FLORIDA                               5309       8852      332533
09 000 25 000 MA MASSACHUSETTS                         4562       6650      254689
09 000 06 000 CA CALIFORNIA                            2222       3462      155823
09 000 34 000 NJ NEW JERSEY                            1602       2873      124971
09 000 42 000 PA PENNSYLVANIA                          1551       2654      100243
09 000 37 000 NC NORTH CAROLINA                        1517       2912       85605
09 000 57 000 FR Foreign                               1392       2632      115411
09 000 48 000 TX TEXAS                                 1385       2623      127652
09 000 51 000 VA VIRGINIA                              1356       2496       85873
09 000 44 000 RI RHODE ISLAND                          1065       1686       63607
09 000 13 000 GA GEORGIA                               1063       2039       65676
09 000 45 000 SC SOUTH CAROLINA                         849       1563       62384
09 000 24 000 MD MARYLAND                               759       1294       48853
09 000 17 000 IL ILLINOIS                               750       1270       67436
09 000 23 000 ME MAINE                                  648       1107       34873
09 000 33 000 NH NEW HAMPSHIRE                          646       1027       41635
09 000 53 000 WA WASHINGTON                             546       1066       38657
09 000 04 000 AZ ARIZONA                                543        932       33942
09 000 08 000 CO COLORADO                               531        814       30940
09 000 39 000 OH OHIO                                   508        969       36670
09 000 50 000 VT VERMONT                                426        657       23152
09 000 47 000 TN TENNESSEE                              396        736       23446
09 000 26 000 MI MICHIGAN                               353        660       33531
09 000 11 000 DC DISTRICT OF COLUMBIA                   325        379       15826
09 000 15 000 HI HAWAII                                 278        526       12284
09 000 18 000 IN INDIANA                                244        452       14820
09 000 55 000 WI WISCONSIN                              236        497       19100
09 000 29 000 MO MISSOURI                               213        376       16216
09 000 27 000 MN MINNESOTA                              212        363       19592
09 000 32 000 NV NEVADA                                 201        312       11281
09 000 41 000 OR OREGON                                 191        275        9427
09 000 22 000 LA LOUISIANA                              187        286        7632
09 000 01 000 AL ALABAMA                                179        362        8938
09 000 21 000 KY KENTUCKY                               143        251        7190
09 000 49 000 UT UTAH                                   140        275        7124
09 000 10 000 DE DELAWARE                               137        238        6525
09 000 35 000 NM NEW MEXICO                             129        220        6337
09 000 40 000 OK OKLAHOMA                               118        236        6995
09 000 19 000 IA IOWA                                   117        230        7317
09 000 02 000 AK ALASKA                                  94        133        3201
09 000 54 000 WV WEST VIRGINIA                           87        179        3976
09 000 20 000 KS KANSAS                                  84        162        4089
09 000 05 000 AR ARKANSAS                                72        137        7202
09 000 28 000 MS MISSISSIPPI                             69        131        2371
09 000 31 000 NE NEBRASKA                                59        105        3453
09 000 30 000 MT MONTANA                                 58         90        2105
09 000 56 000 WY WYOMING                                 50         60       11038
09 000 16 000 ID IDAHO                                   49        103        3965
09 000 46 000 SD SOUTH DAKOTA                            40         66        2293
09 000 38 000 ND NORTH DAKOTA                            33         52        1306
10 000 96 000 DE DE Total Mig - US & For              12891      23504      631737
